País,Clics,Impresiones,CTR,Posición
España,115,2713,4.24%,12.75
Estados Unidos,0,235,0%,7.58
Países Bajos,0,21,0%,7.29
Reino Unido,0,15,0%,12.87
Canadá,0,14,0%,6.57
Alemania,0,9,0%,12.33
Italia,0,8,0%,4.62
México,0,8,0%,7.62
Portugal,0,6,0%,13.17
Australia,0,5,0%,7.6
Chile,0,4,0%,5.5
Brasil,0,4,0%,7.5
Indonesia,0,4,0%,28
Colombia,0,3,0%,6.67
Irlanda,0,3,0%,7.67
Bangladés,0,3,0%,8
La India,0,3,0%,19
Japón,0,2,0%,2
Francia,0,2,0%,2.5
Ecuador,0,2,0%,4.5
Guatemala,0,2,0%,5
Albania,0,2,0%,6
Venezuela,0,2,0%,8.5
Filipinas,0,2,0%,9.5
Perú,0,2,0%,11.5
Honduras,0,2,0%,12
Corea del Sur,0,2,0%,27
Bélgica,0,1,0%,4
Dinamarca,0,1,0%,4
República Dominicana,0,1,0%,4
Argelia,0,1,0%,4
Pakistán,0,1,0%,4
Tailandia,0,1,0%,7
China,0,1,0%,8
Montenegro,0,1,0%,8
Suiza,0,1,0%,10
Argentina,0,1,0%,11
Santa Lucía,0,1,0%,12
Marruecos,0,1,0%,12
Vietnam,0,1,0%,21
Noruega,0,1,0%,29
Ghana,0,1,0%,51
Fiyi,0,1,0%,52
Kenia,0,1,0%,56
