Hora (UTC+02:00),Clics,Impresiones,CTR,Posición
2026-05-28T13:00:00,0,3,0%,31.7
2026-05-28T14:00:00,0,6,0%,22.3
2026-05-28T15:00:00,0,2,0%,14
2026-05-28T16:00:00,0,2,0%,8.5
2026-05-28T17:00:00,0,0,0%,0
2026-05-28T18:00:00,0,1,0%,2
2026-05-28T19:00:00,0,1,0%,3
2026-05-28T20:00:00,0,2,0%,4
2026-05-28T21:00:00,0,0,0%,0
2026-05-28T22:00:00,0,6,0%,9.8
2026-05-28T23:00:00,0,3,0%,27.3
2026-05-29T00:00:00,0,0,0%,0
2026-05-29T01:00:00,0,1,0%,79
2026-05-29T02:00:00,0,1,0%,6
2026-05-29T03:00:00,0,0,0%,0
2026-05-29T04:00:00,0,3,0%,45.3
2026-05-29T05:00:00,0,0,0%,0
2026-05-29T06:00:00,0,0,0%,0
2026-05-29T07:00:00,0,0,0%,0
2026-05-29T08:00:00,0,0,0%,0
2026-05-29T09:00:00,0,2,0%,4.5
2026-05-29T10:00:00,0,0,0%,0
2026-05-29T11:00:00,0,0,0%,0
2026-05-29T12:00:00,0,0,0%,0
