Fecha,Clics,Impresiones,CTR,Posición
2026-03-23,0,0,,
2026-03-24,0,0,,
2026-03-25,0,0,,
2026-03-26,0,0,,
2026-03-27,0,0,,
2026-03-28,0,0,,
2026-03-29,0,0,,
2026-03-30,0,0,,
2026-03-31,0,0,,
2026-04-01,0,0,,
2026-04-02,0,0,,
2026-04-03,0,0,,
2026-04-04,0,0,,
2026-04-05,0,0,,
2026-04-06,0,0,,
2026-04-07,0,0,,
2026-04-08,0,0,,
2026-04-09,0,2,0%,54
2026-04-10,0,1,0%,95
2026-04-11,0,1,0%,94
2026-04-12,0,0,,
2026-04-13,0,2,0%,94
2026-04-14,0,1,0%,11
2026-04-15,0,2,0%,84.5
2026-04-16,0,1,0%,80
2026-04-17,0,2,0%,81.5
2026-04-18,0,3,0%,81
2026-04-19,0,2,0%,80.5
2026-04-20,0,2,0%,69
2026-04-21,0,3,0%,31
2026-04-22,0,3,0%,61.7
2026-04-23,0,2,0%,63.5
2026-04-24,0,2,0%,69
2026-04-25,0,2,0%,68
2026-04-26,0,2,0%,66
2026-04-27,0,2,0%,61.5
2026-04-28,0,2,0%,67.5
2026-04-29,0,3,0%,48.7
2026-04-30,0,3,0%,49.7
2026-05-01,0,4,0%,40.2
2026-05-02,0,3,0%,45.7
2026-05-03,0,4,0%,40.2
2026-05-04,0,3,0%,50
2026-05-05,0,3,0%,32.3
2026-05-06,0,2,0%,40
2026-05-07,0,3,0%,22.3
2026-05-08,0,2,0%,52
2026-05-09,0,3,0%,36.7
2026-05-10,0,5,0%,27.6
2026-05-11,0,3,0%,30
2026-05-12,0,0,,
2026-05-13,0,0,,
2026-05-14,0,1,0%,8
2026-05-15,0,0,,
2026-05-16,0,1,0%,8
2026-05-17,0,1,0%,8
2026-05-18,0,1,0%,5
2026-05-19,0,2,0%,18
2026-05-20,1,9,11.11%,10
2026-05-21,0,13,0%,10.2
2026-05-22,0,4,0%,19.8
2026-05-23,0,1,0%,6
2026-05-24,0,4,0%,8.5
2026-05-25,0,9,0%,7.7
